,,,,,,,,
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XVG,Volume USD
1601164800,2020-09-27,XVGUSD,0.004151,0.004368,0.004151,0.004368,101139.5,431.79
1601078400,2020-09-26,XVGUSD,0.004151,0.004151,0.003864,0.004151,6126.37,25.31
1600992000,2020-09-25,XVGUSD,0.00383,0.004151,0.00383,0.004151,1686.67,6.772
1600905600,2020-09-24,XVGUSD,0.00375,0.003901,0.00368,0.00383,4834.12,17.81
1600819200,2020-09-23,XVGUSD,0.003751,0.003782,0.00375,0.00375,555.74,2.085
1600732800,2020-09-22,XVGUSD,0.00418,0.00418,0.003751,0.003751,100.68,0.3776
1600646400,2020-09-21,XVGUSD,0.004163,0.004182,0.0039,0.00418,6644.41,26.13
1600560000,2020-09-20,XVGUSD,0.004,0.00455,0.0039,0.004163,2675.35,11.09
1600473600,2020-09-19,XVGUSD,0.004333,0.00455,0.004,0.004,3886.32,16.42
1600387200,2020-09-18,XVGUSD,0.004155,0.004333,0.004,0.004333,6022.23,25.19
1600300800,2020-09-17,XVGUSD,0.00409,0.004187,0.00409,0.004155,72.62,0.303
1600214400,2020-09-16,XVGUSD,0.0042,0.0042,0.00409,0.00409,4202.55,17.19
1600128000,2020-09-15,XVGUSD,0.004361,0.004361,0.004,0.0042,4757.47,19.58
1600041600,2020-09-14,XVGUSD,0.004289,0.0046,0.004,0.004361,296.24,1.345
1599955200,2020-09-13,XVGUSD,0.00423,0.004289,0.004,0.004289,1119.64,4.642
1599868800,2020-09-12,XVGUSD,0.00423,0.00423,0.00423,0.00423,173.63,0.7344
1599782400,2020-09-11,XVGUSD,0.004,0.00463,0.004,0.00423,9093.66,37.98
1599696000,2020-09-10,XVGUSD,0.004397,0.0045,0.004,0.004,10617.69,43.94
1599609600,2020-09-09,XVGUSD,0.004224,0.0045,0.004,0.004397,2215.97,9.753
1599523200,2020-09-08,XVGUSD,0.004,0.004224,0.004,0.004224,534.85,2.145
1599436800,2020-09-07,XVGUSD,0.00438,0.00438,0.004,0.004,4677.52,18.72
1599350400,2020-09-06,XVGUSD,0.0041,0.0045,0.0039,0.00438,3494.13,14.73
1599264000,2020-09-05,XVGUSD,0.0044,0.0045,0.0041,0.0041,14614.83,62.42
1599177600,2020-09-04,XVGUSD,0.004967,0.004967,0.0044,0.0044,8821.02,39.58
1599091200,2020-09-03,XVGUSD,0.0046,0.005014,0.0044,0.004967,7317.22,33.01
1599004800,2020-09-02,XVGUSD,0.004731,0.00508,0.0046,0.0046,2160.2,10.25
1598918400,2020-09-01,XVGUSD,0.00504,0.00509,0.004731,0.004731,9594.62,45.64
1598832000,2020-08-31,XVGUSD,0.00471,0.00504,0.00471,0.00504,384.46,1.817
1598745600,2020-08-30,XVGUSD,0.00477,0.00509,0.00471,0.00471,33577.16,169.11
1598659200,2020-08-29,XVGUSD,0.0051,0.0051,0.00477,0.00477,1843.26,9.266
1598572800,2020-08-28,XVGUSD,0.004864,0.0051,0.00477,0.0051,2932.01,14.15
1598486400,2020-08-27,XVGUSD,0.0052,0.0052,0.004864,0.004864,743.11,3.619
1598400000,2020-08-26,XVGUSD,0.004863,0.0052,0.004863,0.0052,83248.69,431.75
1598313600,2020-08-25,XVGUSD,0.0049,0.0052,0.00477,0.004863,62071.78,321.78
1598227200,2020-08-24,XVGUSD,0.00476,0.0049,0.00476,0.0049,23785.63,116.54
1598140800,2020-08-23,XVGUSD,0.004575,0.00476,0.004575,0.00476,15004.2,71.19
1598054400,2020-08-22,XVGUSD,0.004625,0.004946,0.004575,0.004575,428.05,2.026
1597968000,2020-08-21,XVGUSD,0.00471,0.00471,0.004575,0.004625,11180.69,52.27
1597881600,2020-08-20,XVGUSD,0.00471,0.00471,0.00471,0.00471,3732.07,17.58
1597795200,2020-08-19,XVGUSD,0.0048,0.0052,0.00471,0.00471,158730.09,761.94
1597708800,2020-08-18,XVGUSD,0.00482,0.005219,0.0048,0.0048,1787.62,8.918
1597622400,2020-08-17,XVGUSD,0.00471,0.00482,0.00471,0.00482,237.56,1.145
1597536000,2020-08-16,XVGUSD,0.00471,0.005239,0.00471,0.00471,2051,9.671
1597449600,2020-08-15,XVGUSD,0.004695,0.004946,0.004695,0.00471,2053.92,10
1597363200,2020-08-14,XVGUSD,0.004945,0.004945,0.004655,0.004695,9335.32,43.57
1597276800,2020-08-13,XVGUSD,0.004663,0.004945,0.004663,0.004945,3636.1,17.58
1597190400,2020-08-12,XVGUSD,0.0049,0.005239,0.004663,0.004663,8629.62,41.23
1597104000,2020-08-11,XVGUSD,0.004946,0.004946,0.0049,0.0049,1247.52,6.141
1597017600,2020-08-10,XVGUSD,0.005172,0.005172,0.00486,0.004946,5902.45,28.86
1596931200,2020-08-09,XVGUSD,0.0047,0.005172,0.0047,0.005172,652.45,3.278
1596844800,2020-08-08,XVGUSD,0.004663,0.0049,0.004663,0.0047,985.45,4.673
1596758400,2020-08-07,XVGUSD,0.0047,0.005241,0.004663,0.004663,16544.16,78.59
1596672000,2020-08-06,XVGUSD,0.005137,0.005241,0.004677,0.0047,21909.58,109.05
1596585600,2020-08-05,XVGUSD,0.005195,0.005195,0.004663,0.005137,11989.13,56.44
1596499200,2020-08-04,XVGUSD,0.004526,0.0052,0.0045,0.005195,45568.98,206.52
1596412800,2020-08-03,XVGUSD,0.005,0.005241,0.00442,0.004526,2793.64,13.67
1596326400,2020-08-02,XVGUSD,0.0048,0.005,0.0044,0.005,39128.32,192.25
1596240000,2020-08-01,XVGUSD,0.004845,0.004845,0.0043,0.0048,20241.65,93.62
1596153600,2020-07-31,XVGUSD,0.0045,0.004874,0.004365,0.004845,5522.63,24.36
1596067200,2020-07-30,XVGUSD,0.004315,0.0045,0.004315,0.0045,2737.09,12.04
1595980800,2020-07-29,XVGUSD,0.004258,0.004885,0.004135,0.004315,6921.73,29.55
1595894400,2020-07-28,XVGUSD,0.004267,0.004267,0.004258,0.004258,92,0.3918
1595808000,2020-07-27,XVGUSD,0.004134,0.004889,0.004134,0.004267,726.4,3.534
1595721600,2020-07-26,XVGUSD,0.004134,0.004134,0.004134,0.004134,0,0
1595635200,2020-07-25,XVGUSD,0.004,0.004889,0.00394,0.004134,3767.02,16.58
1595548800,2020-07-24,XVGUSD,0.00463,0.00463,0.00392,0.004,16623.19,66.6
1595462400,2020-07-23,XVGUSD,0.004368,0.00463,0.004101,0.00463,12539.76,52.85
1595376000,2020-07-22,XVGUSD,0.004368,0.0048,0.00383,0.004368,7037.83,31.36
1595289600,2020-07-21,XVGUSD,0.00466,0.004912,0.004368,0.004368,863.22,3.832
1595203200,2020-07-20,XVGUSD,0.00466,0.00466,0.00466,0.00466,98.83,0.4605
1595116800,2020-07-19,XVGUSD,0.004378,0.00466,0.004378,0.00466,8336.03,36.53
1595030400,2020-07-18,XVGUSD,0.003731,0.00491,0.003731,0.004378,54537.92,253.27
1594944000,2020-07-17,XVGUSD,0.003731,0.003731,0.003731,0.003731,0,0
1594857600,2020-07-16,XVGUSD,0.003746,0.004367,0.003666,0.003731,29369.93,114.87
1594771200,2020-07-15,XVGUSD,0.0039,0.004368,0.003746,0.003746,38575.75,150.38
1594684800,2020-07-14,XVGUSD,0.00455,0.00455,0.0039,0.0039,12502.45,48.76
1594598400,2020-07-13,XVGUSD,0.00463,0.00463,0.00392,0.00455,16512.03,66.94
